2017-11-25 14:08:32.836000  ,  2017-11-25 14:08:34.983844  ,  0:00:02.147844
2017-11-25 14:08:36.828000  ,  2017-11-25 14:08:38.337036  ,  0:00:01.509036
2017-11-25 14:08:38.829000  ,  2017-11-25 14:08:40.268147  ,  0:00:01.439147
2017-11-25 14:08:40.827000  ,  2017-11-25 14:08:42.972301  ,  0:00:02.145301
2017-11-25 14:08:44.818000  ,  2017-11-25 14:08:46.369495  ,  0:00:01.551495
2017-11-25 14:08:46.818000  ,  2017-11-25 14:08:48.274604  ,  0:00:01.456604
2017-11-25 14:08:48.816000  ,  2017-11-25 14:08:50.966758  ,  0:00:02.150758
2017-11-25 14:08:54.824000  ,  2017-11-25 14:08:56.686085  ,  0:00:01.862085
2017-11-25 14:08:58.817000  ,  2017-11-25 14:09:00.412299  ,  0:00:01.595299
2017-11-25 14:09:00.821000  ,  2017-11-25 14:09:02.313407  ,  0:00:01.492407
2017-11-25 14:09:02.806000  ,  2017-11-25 14:09:05.012562  ,  0:00:02.206562
2017-11-25 14:09:06.805000  ,  2017-11-25 14:09:08.392755  ,  0:00:01.587755
2017-11-25 14:09:08.808000  ,  2017-11-25 14:09:10.277863  ,  0:00:01.469863
2017-11-25 14:09:10.807000  ,  2017-11-25 14:09:12.937015  ,  0:00:02.130015
2017-11-25 14:09:14.807000  ,  2017-11-25 14:09:16.290207  ,  0:00:01.483207
2017-11-25 14:09:16.811000  ,  2017-11-25 14:09:18.247319  ,  0:00:01.436319
2017-11-25 14:09:18.791000  ,  2017-11-25 14:09:20.995476  ,  0:00:02.204476
2017-11-25 14:09:22.796000  ,  2017-11-25 14:09:24.376669  ,  0:00:01.580669
2017-11-25 14:09:24.791000  ,  2017-11-25 14:09:26.280778  ,  0:00:01.489778
2017-11-25 14:09:26.804000  ,  2017-11-25 14:09:28.430901  ,  0:00:01.626901
2017-11-25 14:09:28.804000  ,  2017-11-25 14:09:30.526021  ,  0:00:01.722021
2017-11-25 14:09:30.787000  ,  2017-11-25 14:09:32.383127  ,  0:00:01.596127
2017-11-25 14:09:32.801000  ,  2017-11-25 14:09:34.290236  ,  0:00:01.489236
2017-11-25 14:09:34.783000  ,  2017-11-25 14:09:36.973390  ,  0:00:02.190390
2017-11-25 14:09:38.791000  ,  2017-11-25 14:09:40.359583  ,  0:00:01.568583
2017-11-25 14:09:40.794000  ,  2017-11-25 14:09:42.248692  ,  0:00:01.454692
2017-11-25 14:09:42.793000  ,  2017-11-25 14:09:44.423816  ,  0:00:01.630816
2017-11-25 14:09:44.782000  ,  2017-11-25 14:09:46.523936  ,  0:00:01.741936
2017-11-25 14:09:46.782000  ,  2017-11-25 14:09:48.406044  ,  0:00:01.624044
2017-11-25 14:09:48.780000  ,  2017-11-25 14:09:50.276151  ,  0:00:01.496151
2017-11-25 14:09:50.784000  ,  2017-11-25 14:09:52.989306  ,  0:00:02.205306
2017-11-25 14:09:54.781000  ,  2017-11-25 14:09:56.343498  ,  0:00:01.562498
2017-11-25 14:09:56.782000  ,  2017-11-25 14:09:58.270608  ,  0:00:01.488608
2017-11-25 14:09:58.770000  ,  2017-11-25 14:10:00.435732  ,  0:00:01.665732
2017-11-25 14:10:00.784000  ,  2017-11-25 14:10:02.485849  ,  0:00:01.701849
2017-11-25 14:10:02.774000  ,  2017-11-25 14:10:04.353956  ,  0:00:01.579956
2017-11-25 14:10:04.773000  ,  2017-11-25 14:10:06.318068  ,  0:00:01.545068
2017-11-25 14:10:06.774000  ,  2017-11-25 14:10:08.981220  ,  0:00:02.207220
2017-11-25 14:10:10.774000  ,  2017-11-25 14:10:12.333412  ,  0:00:01.559412
2017-11-25 14:10:18.769000  ,  2017-11-25 14:10:20.326869  ,  0:00:01.557869
2017-11-25 14:10:24.760000  ,  2017-11-25 14:10:26.150203  ,  0:00:01.390203
2017-11-25 14:10:26.762000  ,  2017-11-25 14:10:28.132316  ,  0:00:01.370316
2017-11-25 14:10:28.769000  ,  2017-11-25 14:10:30.830470  ,  0:00:02.061470
2017-11-25 14:10:32.752000  ,  2017-11-25 14:10:34.208663  ,  0:00:01.456663
2017-11-25 14:10:34.756000  ,  2017-11-25 14:10:36.162775  ,  0:00:01.406775
2017-11-25 14:10:36.760000  ,  2017-11-25 14:10:38.883931  ,  0:00:02.123931
2017-11-25 14:10:40.759000  ,  2017-11-25 14:10:42.290126  ,  0:00:01.531126
2017-11-25 14:10:42.757000  ,  2017-11-25 14:10:44.192235  ,  0:00:01.435235
2017-11-25 14:10:44.747000  ,  2017-11-25 14:10:46.859387  ,  0:00:02.112387
2017-11-25 14:10:48.756000  ,  2017-11-25 14:10:50.237580  ,  0:00:01.481580
2017-11-25 14:10:50.740000  ,  2017-11-25 14:10:52.921734  ,  0:00:02.181734
2017-11-25 14:10:54.741000  ,  2017-11-25 14:10:56.257925  ,  0:00:01.516925
2017-11-25 14:10:56.736000  ,  2017-11-25 14:10:58.225037  ,  0:00:01.489037
2017-11-25 14:10:58.731000  ,  2017-11-25 14:11:00.516168  ,  0:00:01.785168
2017-11-25 14:11:00.780000  ,  2017-11-25 14:11:02.398276  ,  0:00:01.618276
2017-11-25 14:11:02.737000  ,  2017-11-25 14:11:04.465394  ,  0:00:01.728394
2017-11-25 14:11:06.735000  ,  2017-11-25 14:11:08.154605  ,  0:00:01.419605
2017-11-25 14:11:08.743000  ,  2017-11-25 14:11:10.945765  ,  0:00:02.202765
2017-11-25 14:11:12.727000  ,  2017-11-25 14:11:14.348959  ,  0:00:01.621959
2017-11-25 14:11:14.735000  ,  2017-11-25 14:11:16.374075  ,  0:00:01.639075
2017-11-25 14:11:16.729000  ,  2017-11-25 14:11:18.455194  ,  0:00:01.726194
2017-11-25 14:11:18.737000  ,  2017-11-25 14:11:20.495311  ,  0:00:01.758311
2017-11-25 14:11:20.752000  ,  2017-11-25 14:11:22.564429  ,  0:00:01.812429
2017-11-25 14:11:24.726000  ,  2017-11-25 14:11:26.989682  ,  0:00:02.263682
2017-11-25 14:11:28.721000  ,  2017-11-25 14:11:30.390877  ,  0:00:01.669877
2017-11-25 14:11:30.712000  ,  2017-11-25 14:11:32.349989  ,  0:00:01.637989
2017-11-25 14:11:32.720000  ,  2017-11-25 14:11:34.469110  ,  0:00:01.749110
2017-11-25 14:11:34.719000  ,  2017-11-25 14:11:36.499226  ,  0:00:01.780226
2017-11-25 14:11:36.780000  ,  2017-11-25 14:11:38.345332  ,  0:00:01.565332
2017-11-25 14:11:38.711000  ,  2017-11-25 14:11:40.224439  ,  0:00:01.513439
2017-11-25 14:11:40.718000  ,  2017-11-25 14:11:42.195552  ,  0:00:01.477552
2017-11-25 14:11:42.705000  ,  2017-11-25 14:11:44.433680  ,  0:00:01.728680
2017-11-25 14:11:44.746000  ,  2017-11-25 14:11:46.398793  ,  0:00:01.652793
2017-11-25 14:11:46.715000  ,  2017-11-25 14:11:48.248898  ,  0:00:01.533898
2017-11-25 14:11:48.711000  ,  2017-11-25 14:11:50.179009  ,  0:00:01.468009
2017-11-25 14:11:50.718000  ,  2017-11-25 14:11:52.376134  ,  0:00:01.658134
2017-11-25 14:11:52.715000  ,  2017-11-25 14:11:54.441252  ,  0:00:01.726252
2017-11-25 14:11:54.707000  ,  2017-11-25 14:11:56.277358  ,  0:00:01.570358
2017-11-25 14:11:56.695000  ,  2017-11-25 14:11:58.166466  ,  0:00:01.471466
2017-11-25 14:11:58.712000  ,  2017-11-25 14:12:00.880621  ,  0:00:02.168621
2017-11-25 14:12:12.703000  ,  2017-11-25 14:12:14.744414  ,  0:00:02.041414
2017-11-25 14:12:16.693000  ,  2017-11-25 14:12:18.146608  ,  0:00:01.453608
2017-11-25 14:12:18.693000  ,  2017-11-25 14:12:20.090719  ,  0:00:01.397719
2017-11-25 14:12:20.690000  ,  2017-11-25 14:12:22.060832  ,  0:00:01.370832
2017-11-25 14:12:22.684000  ,  2017-11-25 14:12:24.011944  ,  0:00:01.327944
2017-11-25 14:12:24.697000  ,  2017-11-25 14:12:25.907052  ,  0:00:01.210052
2017-11-25 14:12:26.689000  ,  2017-11-25 14:12:28.727213  ,  0:00:02.038213
2017-11-25 14:12:30.677000  ,  2017-11-25 14:12:32.157410  ,  0:00:01.480410
2017-11-25 14:12:32.687000  ,  2017-11-25 14:12:34.095520  ,  0:00:01.408520
2017-11-25 14:12:34.679000  ,  2017-11-25 14:12:36.063633  ,  0:00:01.384633
2017-11-25 14:12:36.676000  ,  2017-11-25 14:12:38.843792  ,  0:00:02.167792
2017-11-25 14:12:40.673000  ,  2017-11-25 14:12:42.126980  ,  0:00:01.453980
2017-11-25 14:12:42.673000  ,  2017-11-25 14:12:44.013088  ,  0:00:01.340088
2017-11-25 14:12:44.671000  ,  2017-11-25 14:12:46.680240  ,  0:00:02.009240
